src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
163.116.189.35,192.168.0.15,443,49764,6,2023-10-25 10:07:07,903526.0,16059.305432273115,52.01842559040913,25.455825288923617,26.562600301485514,23,24,7857,6653,1514.0,60.0,341.60869565217394,439.07211838350304,1423.0,54.0,277.2083333333333,385.46238242387403,1514,54,308.72340425531917,413.82233324797016,171248.92349479406,460,480,20,23,19641.869565217392,178006.0,0.0,35572.99518785508,903526.0,182137.0,0.0,41069.36363636364,62086.19549651439,878933.0,205895.0,45.0,38214.47826086957,52651.16563296958,0,0,0,0,1,0,0,0,0,0,0,1.0434782608695652,308.72340425531917,32723,32768,176718.0,852.0,52091.2,53111.04514656062,177884.0,5387.0,41704.692307692305,44563.177188527465,2717.0,6.0,2076.0,4.5,26303.68803458107,210857.75227261186,341.60869565217394,277.2083333333333,0,23,24,7857,6653
192.168.0.15,163.116.189.69,49794,443,6,2023-10-25 10:07:07,94176.0,3695.2089704383284,31.855249745158005,21.236833163438668,10.618416581719334,2,1,201,147,147.0,54.0,100.5,46.5,147.0,147.0,147.0,0.0,147,54,116.0,43.840620433565945,1922.0,40,20,20,1,47088.0,53604.0,40572.0,6516.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,116.0,32762,1785,0.0,0.0,0.0,0.0,40572.0,13032.0,26802.0,13770.0,0.0,0.0,0.0,0.0,0.0,0.0,100.5,147.0,0,2,1,201,147
